variant,strategy,pattern,severity,impact_score,line_number,co_occurring_patterns,source_lines,complexity_class,total_suggestions,score
with_setup_noise,reduce_nesting,nested_loops,medium,12.0,7,constant_folding|nested_loops,10,O(n²),2,95.2
with_setup_noise,reduce_nesting,constant_folding,low,2.0,2,constant_folding|nested_loops,10,O(n²),2,95.2
with_branch_noise,reduce_nesting,nested_loops,medium,12.0,10,nested_loops,13,O(n²),1,96.82
small_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
medium_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
large_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
with_setup_noise,reduce_nesting,nested_loops,medium,12.0,7,constant_folding|nested_loops,10,O(n²),2,95.2
with_setup_noise,reduce_nesting,constant_folding,low,2.0,2,constant_folding|nested_loops,10,O(n²),2,95.2
with_branch_noise,reduce_nesting,nested_loops,medium,12.0,10,nested_loops,13,O(n²),1,96.82
small_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
medium_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
large_input,reduce_nesting,nested_loops,medium,12.0,5,nested_loops,7,O(n²),1,94.57
with_setup_noise,reduce_nesting,nested_loops,medium,12.0,7,constant_folding|nested_loops,10,O(n²),2,95.2
with_setup_noise,reduce_nesting,constant_folding,low,2.0,2,constant_folding|nested_loops,10,O(n²),2,95.2
